problem_id,F,J,M,Best,status
I_3_16_4_5,3,16,4,1325,feasible
I_3_16_5_1,3,16,5,1392,feasible
I_3_16_5_2,3,16,5,1104,feasible
I_3_16_5_3,3,16,5,1586,feasible
I_3_16_5_4,3,16,5,1457,feasible
I_3_16_5_5,3,16,5,1966,feasible
I_3_4_2_1,3,4,2,2,optimal
I_3_4_2_2,3,4,2,37,optimal
I_3_4_2_3,3,4,2,40,optimal
I_3_4_2_4,3,4,2,39,optimal
I_3_4_2_5,3,4,2,34,optimal
I_3_4_3_1,3,4,3,6,optimal
I_3_4_3_2,3,4,3,14,optimal
I_3_4_3_3,3,4,3,11,optimal
I_3_4_3_4,3,4,3,37,optimal
I_3_4_3_5,3,4,3,8,optimal
I_3_4_4_1,3,4,4,47,optimal
I_3_4_4_2,3,4,4,9,optimal
I_3_4_4_3,3,4,4,2,optimal
I_3_4_4_4,3,4,4,18,optimal
I_3_4_4_5,3,4,4,2,optimal
I_3_4_5_1,3,4,5,11,optimal
I_3_4_5_2,3,4,5,16,optimal
I_3_4_5_3,3,4,5,2,optimal
I_3_4_5_4,3,4,5,3,optimal
I_3_4_5_5,3,4,5,6,optimal
I_3_6_2_1,3,6,2,82,optimal
I_3_6_2_2,3,6,2,34,optimal
I_3_6_2_3,3,6,2,120,optimal
I_3_6_2_4,3,6,2,29,optimal
I_3_6_2_5,3,6,2,143,optimal
I_3_6_3_1,3,6,3,68,optimal
I_3_6_3_2,3,6,3,82,optimal
I_3_6_3_3,3,6,3,63,optimal
I_3_6_3_4,3,6,3,115,optimal
I_3_6_3_5,3,6,3,146,optimal
I_3_6_4_1,3,6,4,111,optimal
I_3_6_4_2,3,6,4,92,optimal
I_3_6_4_3,3,6,4,183,optimal
I_3_6_4_4,3,6,4,145,optimal
I_3_6_4_5,3,6,4,133,optimal
I_3_6_5_1,3,6,5,139,optimal
I_3_6_5_2,3,6,5,90,optimal
I_3_6_5_3,3,6,5,127,optimal
I_3_6_5_4,3,6,5,196,optimal
I_3_6_5_5,3,6,5,50,optimal
I_3_8_2_1,3,8,2,273,optimal
I_3_8_2_2,3,8,2,223,optimal
I_3_8_2_3,3,8,2,135,optimal
I_3_8_2_4,3,8,2,261,optimal
I_3_8_2_5,3,8,2,167,optimal
I_3_8_3_1,3,8,3,175,optimal
I_3_8_3_2,3,8,3,203,optimal
I_3_8_3_3,3,8,3,200,optimal
